Alepa,X,Y
Jätkäsaari,24.9189676,60.15985389999999
Perämiehenkatu,24.934486,60.158716
Viherniemenkatu,24.9532319,60.1795286
Kallio,24.947155,60.18509899999999
Mannerheimintie,24.9170109,60.1890597
Eliel,24.9403686,60.17229999999999
Kannelmäki,24.8850483,60.2415665
Vallila,24.9620729,60.1917869
Kuulakuja,25.1096104,60.2448517
Sturenkatu 27,24.9559647,60.1937353
Jätkäsaari,24.9189676,60.15985389999999
Sturenkatu 27,24.9559647,60.1937353
Kuulakuja,25.1096104,60.2448517
Perämiehenkatu,24.9344859,60.158716
Kallio,24.9471913,60.1851096
Vallila,24.9620729,60.1917869
Viherniemenkatu,24.9532319,60.1795286
Mannerheimintie,24.9170109,60.1890597
Eliel,24.9403686,60.17229999999999
Kannelmäki,24.8850483,60.2415665
Pellonkulma,25.1183449,60.49276039999999
Alepa,25.0214189,60.25359869999999
Kaleva,25.0961457,60.41297199999999
Tapanila,25.0277717,60.26328179999999
Martinlaakso,24.8485931,60.2770052
Hiekkaharju,25.0310679,60.31018229999999
Keskusta,25.1092883,60.40021249999999
Kartanonkoski,24.9691773,60.28372899999999
Rajatorppa,24.8290227,60.2587225
Päiväkumpu,25.0962364,60.32764890000001
Hyvinkää,24.8440465,60.6192625
Pellonkulma,25.1182296,60.4928104
Keskusta,25.1092883,60.40021249999999
Kaleva,25.0961457,60.41297199999999
Haikala,24.752814,60.39928270000001
Metsolantie,25.0896289,60.40856520000001
Riihikallio,25.0181298,60.37420609999999
Alepa,24.8061639,60.6183724
Kannisto,25.0989527,60.390777
Kellokoski,25.1101765,60.5315492
Ymmersta,24.7076116,60.2061188
Matinkylä,24.7399624,60.1578592
Malminkartano,24.8623791,60.2476358
Karakallio,24.7643319,60.22876520000001
Lintuvaara,24.8141923,60.2344675
Martinlaakso,24.8485931,60.2770052
Viherlaakso,24.7403481,60.2268115
Kivenlahti,24.636759,60.1538542
Mankkaa,24.7689442,60.193888
Laajalahti,24.8045325,60.2038574
Kuulakuja,25.1094715,60.2448563
Vuosaari,25.1374634,60.2099728
Pukinmäki,24.9936349,60.2432902
Tapanila,25.0277717,60.26328179999999
Kalasatama,24.9830635,60.1846458
Kulosaari,25.0081543,60.1863299
Herttoniemi,25.0299445,60.19502920000001
Erätori,25.0342257,60.20459040000001
Alepa,25.0214189,60.25359869999999
Porttipuisto,25.0786792,60.2747032
Hyvinkää,24.8440465,60.6192625
Haikala,24.752814,60.39928270000001
Riihikallio,25.0181298,60.37420609999999
Alepa,24.8061639,60.6183724
Lahela,24.9898206,60.393187
Metsolantie,25.0896289,60.40856520000001
Kaleva,25.0961457,60.41297199999999
Mikkola,25.0965379,60.3414167
Kivistö,24.8418881,60.32245999999999
Havukoski,25.0714604,60.3213518
